## Thu Aug  8 11:06:32 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NC_017034.1_subset_4	1041930.Mtc_0904	0.0	868.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NC_017034.1_subset_5	1041930.Mtc_0905	1e-117	336.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NC_017034.1_subset_6	1041930.Mtc_0906	2.43e-145	409.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NC_017034.1_subset_7	1041930.Mtc_0907	8.42e-187	518.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NC_017034.1_subset_8	1041930.Mtc_0908	0.0	1116.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NC_017034.1_subset_9	1041930.Mtc_0909	5.18e-119	339.0	COG1342@1|root,arCOG02238@2157|Archaea,2Y128@28890|Euryarchaeota,2NAQH@224756|Methanomicrobia	224756|Methanomicrobia	S	Protein of unknown function  DUF134	-	-	-	ko:K06933	-	-	-	-	ko00000	-	-	-	DUF134
NC_017034.1_subset_10	1041930.Mtc_0910	1.28e-98	286.0	COG1433@1|root,arCOG02734@2157|Archaea	2157|Archaea	Q	PFAM Dinitrogenase iron-molybdenum cofactor	-	-	-	-	-	-	-	-	-	-	-	-	Nitro_FeMo-Co
NC_017034.1_subset_11	1041930.Mtc_0911	1.51e-202	561.0	COG0489@1|root,arCOG00585@2157|Archaea,2XTU2@28890|Euryarchaeota,2N9IC@224756|Methanomicrobia	224756|Methanomicrobia	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	-	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	ParA
NC_017034.1_subset_12	1041930.Mtc_0912	0.0	1033.0	COG1123@1|root,arCOG00185@2157|Archaea,2Y7KQ@28890|Euryarchaeota,2N960@224756|Methanomicrobia	224756|Methanomicrobia	E	PFAM ABC transporter	atw-1	-	-	ko:K00400	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	ABC_tran
NC_017034.1_subset_13	1041930.Mtc_0913	6.57e-223	613.0	COG2267@1|root,arCOG01650@2157|Archaea	2157|Archaea	I	Alpha beta hydrolase	-	-	-	ko:K06889	-	-	-	-	ko00000	-	-	-	Hydrolase_4
NC_017034.1_subset_14	1041930.Mtc_0914	1.8e-72	218.0	COG1433@1|root,arCOG02734@2157|Archaea,2XZWT@28890|Euryarchaeota,2N9ZY@224756|Methanomicrobia	224756|Methanomicrobia	S	Dinitrogenase iron-molybdenum cofactor biosynthesis	-	-	-	-	-	-	-	-	-	-	-	-	Nitro_FeMo-Co
NC_017034.1_subset_15	1041930.Mtc_0915	8.99e-83	244.0	arCOG05144@1|root,arCOG10981@1|root,arCOG05144@2157|Archaea,arCOG10981@2157|Archaea	2157|Archaea	S	Family of unknown function (DUF5320)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5320
NC_017034.1_subset_17	1041930.Mtc_0916	2.74e-208	575.0	COG1149@1|root,arCOG04073@2157|Archaea,2XWI1@28890|Euryarchaeota,2N9GG@224756|Methanomicrobia	224756|Methanomicrobia	D	4Fe-4S ferredoxin, iron-sulfur binding	-	-	-	-	-	-	-	-	-	-	-	-	CbiA,Fer4
NC_017034.1_subset_18	1041930.Mtc_0917	4.54e-56	181.0	COG1149@1|root,arCOG04073@2157|Archaea,2XWS4@28890|Euryarchaeota,2N9GD@224756|Methanomicrobia	224756|Methanomicrobia	D	4Fe-4S ferredoxin, iron-sulfur binding	-	-	-	-	-	-	-	-	-	-	-	-	CbiA,Fer4
NZ_JQLR01000001.1_subset_1	192952.MM_1234	7.74e-86	253.0	COG0262@1|root,arCOG01490@2157|Archaea,2XZSN@28890|Euryarchaeota,2N9Y4@224756|Methanomicrobia	224756|Methanomicrobia	H	RibD C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	RibD_C
NZ_JQLR01000001.1_subset_2	192952.MM_1235	8.15e-203	562.0	COG1715@1|root,arCOG02781@2157|Archaea,2Y229@28890|Euryarchaeota,2NAA8@224756|Methanomicrobia	224756|Methanomicrobia	V	Mrr N-terminal domain	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_N,Mrr_cat
NZ_JQLR01000001.1_subset_3	192952.MM_1236	3.36e-174	489.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NZ_JQLR01000001.1_subset_4	192952.MM_1237	1.3e-159	446.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NZ_JQLR01000001.1_subset_5	192952.MM_1238	3.32e-301	822.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
NZ_JQLR01000001.1_subset_6	192952.MM_1239	5.55e-245	671.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NZ_JQLR01000001.1_subset_7	192952.MM_1240	0.0	1120.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NZ_JQLR01000001.1_subset_8	192952.MM_1241	4.12e-179	498.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NZ_JQLR01000001.1_subset_9	192952.MM_1242	6.89e-136	385.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NZ_JQLR01000001.1_subset_10	192952.MM_1243	4.71e-114	327.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NZ_JQLR01000001.1_subset_11	192952.MM_1244	2.56e-307	838.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NZ_JQLR01000001.1_subset_12	192952.MM_1245	5.51e-304	828.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NZ_JQLR01000001.1_subset_13	192952.MM_1246	0.0	1168.0	COG1933@1|root,arCOG04447@2157|Archaea,2XU5S@28890|Euryarchaeota,2N91E@224756|Methanomicrobia	224756|Methanomicrobia	L	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase	polC	-	2.7.7.7	ko:K02322	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00264	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	PolC_DP2
NZ_CP009501.1_subset_1	269797.Mbar_A0899	0.0	1111.0	COG1933@1|root,arCOG04447@2157|Archaea,2XU5S@28890|Euryarchaeota,2N91E@224756|Methanomicrobia	224756|Methanomicrobia	L	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase	polC	-	2.7.7.7	ko:K02322	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00264	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	PolC_DP2
NZ_CP009501.1_subset_2	269797.Mbar_A0898	1.23e-275	756.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NZ_CP009501.1_subset_3	269797.Mbar_A0897	1.24e-282	776.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NZ_CP009501.1_subset_4	269797.Mbar_A0896	9.73e-103	299.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NZ_CP009501.1_subset_5	269797.Mbar_A0895	2.8e-135	384.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NZ_CP009501.1_subset_6	192952.MM_1241	7.88e-168	470.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NZ_CP009501.1_subset_7	269797.Mbar_A0893	0.0	1092.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NZ_CP009501.1_subset_8	269797.Mbar_A0892	2.16e-201	561.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NZ_CP009501.1_subset_9	269797.Mbar_A0891	1.46e-266	735.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
NZ_CP009501.1_subset_10	192952.MM_1237	4.83e-146	412.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NZ_CP009501.1_subset_11	269797.Mbar_A0889	3.63e-162	459.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NZ_CP009501.1_subset_12	192952.MM_1234	6.43e-63	197.0	COG0262@1|root,arCOG01490@2157|Archaea,2XZSN@28890|Euryarchaeota,2N9Y4@224756|Methanomicrobia	224756|Methanomicrobia	H	RibD C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	RibD_C
NZ_CP009501.1_subset_13	269797.Mbar_A0887	4.25e-195	548.0	arCOG05280@1|root,arCOG05280@2157|Archaea,2Y646@28890|Euryarchaeota,2NBF0@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009520.1_subset_1	269797.Mbar_A0889	4.91e-171	481.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NZ_CP009520.1_subset_2	269797.Mbar_A0890	3.72e-159	445.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NZ_CP009520.1_subset_3	269797.Mbar_A0891	7.98e-283	776.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
NZ_CP009520.1_subset_4	269797.Mbar_A0892	1.12e-219	607.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NZ_CP009520.1_subset_5	1131462.DCF50_p548	1.82e-26	104.0	COG0454@1|root,COG0456@2|Bacteria,1V9WU@1239|Firmicutes,24MI0@186801|Clostridia,266C1@186807|Peptococcaceae	186801|Clostridia	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10
NZ_CP009520.1_subset_6	269797.Mbar_A0893	0.0	1090.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NZ_CP009520.1_subset_7	269797.Mbar_A0894	1.5e-178	497.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NZ_CP009520.1_subset_8	269797.Mbar_A0895	3.71e-140	396.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NZ_CP009520.1_subset_9	269797.Mbar_A0896	3.54e-105	305.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
NZ_CP009520.1_subset_10	269797.Mbar_A0897	5.39e-309	842.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
NZ_CP009520.1_subset_11	269797.Mbar_A0898	2.03e-290	793.0	COG1625@1|root,arCOG00950@2157|Archaea,2XTIR@28890|Euryarchaeota,2N94K@224756|Methanomicrobia	224756|Methanomicrobia	C	Radical SAM domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
NZ_CP009520.1_subset_12	269797.Mbar_A0899	0.0	993.0	COG1933@1|root,arCOG04447@2157|Archaea,2XU5S@28890|Euryarchaeota,2N91E@224756|Methanomicrobia	224756|Methanomicrobia	L	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase	polC	-	2.7.7.7	ko:K02322	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	M00264	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032	-	-	-	PolC_DP2
NZ_CP009530.1_subset_1	269797.Mbar_A0888	1.58e-209	580.0	COG1715@1|root,arCOG02781@2157|Archaea,2Y229@28890|Euryarchaeota,2NAA8@224756|Methanomicrobia	224756|Methanomicrobia	V	Mrr N-terminal domain	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_N,Mrr_cat
NZ_CP009530.1_subset_2	269797.Mbar_A0889	5.85e-177	496.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NZ_CP009530.1_subset_3	269797.Mbar_A0890	1.1e-153	432.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NZ_CP009530.1_subset_4	269797.Mbar_A0891	1.49e-282	776.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
NZ_CP009530.1_subset_5	269797.Mbar_A0892	1.79e-220	609.0	arCOG01220@1|root,arCOG01220@2157|Archaea,2XYGI@28890|Euryarchaeota,2N9S5@224756|Methanomicrobia	224756|Methanomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PrmA
NZ_CP009530.1_subset_6	269797.Mbar_A0893	0.0	1114.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
NZ_CP009530.1_subset_7	269797.Mbar_A0894	3.54e-177	493.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
NZ_CP009530.1_subset_8	269797.Mbar_A0895	9.1e-141	398.0	COG4056@1|root,arCOG03225@2157|Archaea,2XW32@28890|Euryarchaeota,2N9IH@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase operon protein C	mcrC	-	-	ko:K03421	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_C
NZ_CP009530.1_subset_9	269797.Mbar_A0896	3.29e-110	318.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
